Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T010_006,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T011_006
"35","New Mexico","New Mexico","00","35",,1383,16,74,0,38,1255,65.9567375308144,0.763056977941454,3.52913852297922,0,1.81226032261095,59.8522817072828,47,30,8,8,1,3,2.24147987270302,1.43073183364023,0.381528488970727,0.381528488970727,0.0476910611213408,0.143073183364023
"36","New York","New York","00","36",,2597,15,476,0,482,1624,13.3497409548822,0.0771067055538058,2.4468527895741,0,2.47769547179563,8.34808598795871,595,164,357,73,1,16,3.05856598696763,0.843033314054944,1.83513959218058,0.375252633695188,0.00514044703692039,0.0822471525907262
"37","North Carolina","North Carolina","00","37",,6032,124,706,0,622,4580,57.512887959326,1.18229411587474,6.73144875651263,0,5.93053983930716,43.6686052476315,211,132,42,30,7,0,2.0118069229804,1.25857115560859,0.400454458602734,0.286038899001953,0.0667424097671224,0
"38","North Dakota","North Dakota","00","38",,229,4,65,0,4,156,30.0500484212571,0.524891675480473,8.52948972655768,0,0.524891675480473,20.4707753437384,18,14,1,3,0,0,2.36201253966213,1.83712086418165,0.131222918870118,0.393668756610355,0,0
"39","Ohio","Ohio","00","39",,2379,44,678,0,296,1705,20.3522940175035,0.376419057070262,5.80027547030995,0,2.53227365665449,14.5862384614727,361,216,30,60,55,30,3.0883472636901,1.8478753710722,0.256649357093361,0.513298714186721,0.470523821337828,0.256649357093361
"40","Oklahoma","Oklahoma","00","40",,1952,46,331,0,81,1494,49.3306622666681,1.16250536079238,8.36498422657128,0,2.04702030922137,37.7561523700831,28,14,5,8,1,0,0.70761195874319,0.353805979371595,0.126359278346998,0.202174845355197,0.0252718556693997,0
"41","Oregon","Oregon","00","41",,1839,41,360,0,236,1290,43.6015806580638,0.972085267526164,8.5353828368151,0,5.59541763746768,30.5851218319208,174,116,29,27,2,8,4.12543503779396,2.75029002519598,0.687572506298994,0.640153712761132,0.0474187935378617,0.189675174151447
"42","Pennsylvania","Pennsylvania","00","42",,14,0,0,0,0,14,0.109358006790976,0,0,0,0,0.109358006790976,41,28,9,4,0,0,0.320262734173573,0.218716013581952,0.0703015757941989,0.0312451447974217,0,0
"44","Rhode Island","Rhode Island","00","44",,,,,,,,,,,,,,17,4,5,8,0,0,1.60474097120812,0.377586110872498,0.471982638590622,0.755172221744995,0,0
"45","South Carolina","South Carolina","00","45",,12998,220,1198,0,1352,10228,252.45138883224,4.27291164356769,23.2679461317914,0,26.2589842822887,198.651546774593,64,36,20,7,1,4,1.24302884176515,0.699203723492896,0.388446513051609,0.135956279568063,0.0194223256525804,0.0776893026103217
"46","South Dakota","South Dakota","00","46",,432,4,114,0,6,308,48.8323749602954,0.452151620002736,12.886321170078,0,0.678227430004103,34.8156747402106,20,13,3,4,0,0,2.26075810001368,1.46949276500889,0.339113715002052,0.452151620002736,0,0
"47","Tennessee","Tennessee","00","47",,7040,68,655,0,304,6013,103.08713762455,0.995728033873496,9.59120385569324,0,4.45149003378739,88.0487157011961,114,91,12,10,1,3,1.66930876267027,1.33251839827188,0.175716711860029,0.146430593216691,0.0146430593216691,0.0439291779650072
"48","Texas","Texas","00","48",,18111,255,3030,0,3170,11656,62.4605956963336,0.879435254959144,10.4497600883381,0,10.9325872871392,40.1988130658972,434,300,44,71,19,25,1.49676431628341,1.03462971171664,0.151745691051774,0.244862365106271,0.0655265484087205,0.0862191426430533
"49","Utah","Utah","00","49",,581,6,185,0,23,367,18.1225081551287,0.187151547213033,5.77050603906851,0,0.717414264316625,11.4474363045305,18,12,3,3,0,0,0.561454641639098,0.374303094426065,0.0935757736065164,0.0935757736065164,0,0
"50","Vermont","Vermont","00","50",,34,0,10,0,1,23,5.44881400152887,0,1.60259235339085,0,0.160259235339084,3.68596241279894,32,18,4,9,1,1,5.1282955308507,2.88466623610352,0.641036941356338,1.44233311805176,0.160259235339084,0.160259235339084
"51","Virginia","Virginia","00","51",,3587,90,966,0,323,2208,42.0243924241748,1.05441742909834,11.3174137389888,0,3.78418699554181,25.8683742605458,159,102,27,27,3,4,1.86280412474039,1.19500641964478,0.316325228729501,0.316325228729501,0.0351472476366112,0.0468629968488149
"53","Washington","Washington","00","53",,4517,56,787,0,600,3074,59.3179707186956,0.735401009574265,10.3350106166955,0,7.87929653115283,40.368262561273,531,331,76,116,8,25,6.97317743007026,4.34674525301931,0.998044227279359,1.52333066268955,0.105057287082038,0.328304022131368
"54","West Virginia","West Virginia","00","54",,1532,25,109,0,48,1350,85.4840590643513,1.39497485418328,6.08209036423909,0,2.67835172003189,75.328642125897,29,18,6,3,2,2,1.6181708308526,1.00438189501196,0.334793965003987,0.167396982501993,0.111597988334662,0.111597988334662
"55","Wisconsin","Wisconsin","00","55",,1739,18,385,0,57,1279,29.8672342185416,0.309149060341431,6.61235490174728,0,0.978972024414532,21.9667582320384,66,39,18,5,4,8,1.13354655458525,0.669822964073101,0.309149060341431,0.0858747389837309,0.0686997911869847,0.137399582373969
"56","Wyoming","Wyoming","00","56",,242,0,49,0,2,191,41.8136046264507,0,8.46639101940531,0,0.34556698038389,33.0016466266615,5,4,0,1,0,0,0.863917450959726,0.691133960767781,0,0.172783490191945,0,0
